core
533 110 151 198 169 38 184 208 53 183 49 599 864 22 81 799 218 119 74 859 209 47 894 119 681 148 44 15 161 236 118 178 50 613 529 235 229 17 516 237 104 106 67 232 243 38 397 87 235 62 52 36 34 174 90 170 850 750 578 123 365 136 65 248 86 44 242 530 16 34 107 147 519 131 164 240 567 20 71 386 151 179 50 853 198 121 118 69 11 24 23 126 212 173 235 110 885 660 461 194 137 6 15 834 195 95 227 63 117 32 85 140 111 527 681 181 47 515 207 58 138 42 150 443 113 802 159 38 241 190 11 166 702 165 137 35 65 515 207 58 138 42 150 787 236 220 57 242 187 71 229 38 219 799 473 897 237 223 34 106 188 45 195 380 477 176 223 9 127 186 46 135 120 21 364 533 673 131 125 228 240 26 46 10 107 223 60 42 14 226 105 132 169 108 230 127 240 550 509 475 674 138 155 109 20 10 23 172 239 168 825 71 113 183 575 729 147 188 100 206 57 837 9 646 157 100 127 111 848 53 187 28 48 134 742
has_camera
0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0
has_gpu
0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0
bandwidth
1,0 129
2,0 145
3,1 109
4,0 123
5,3 186
6,3 170
7,4 87
8,6 152
9,3 174
10,9 135
11,0 184
12,0 122
13,10 118
14,11 153
15,17 188
16,15 100
16,20 190
17,15 154
17,21 89
17,20 98
18,16 70
18,20 56
19,15 112
20,19 191
21,18 103
22,29 94
22,23 80
22,30 185
23,22 55
23,27 56
23,32 67
24,22 77
24,32 134
25,24 146
26,25 190
27,25 169
27,22 164
28,23 81
28,27 114
29,24 56
30,24 127
30,32 199
30,22 73
31,29 145
32,26 110
34,33 167
35,34 148
36,34 188
37,35 58
37,36 175
38,33 196
39,34 197
40,38 196
40,41 184
41,40 126
42,37 93
43,40 180
44,38 81
45,37 178
47,46 68
48,46 58
49,48 75
50,48 82
51,52 62
52,53 84
53,54 194
54,55 88
55,56 102
56,57 90
59,58 69
59,66 172
59,64 145
59,62 127
59,63 197
60,58 78
60,61 172
61,59 89
62,61 186
62,59 72
63,60 179
64,59 122
64,66 149
65,63 121
65,59 57
66,59 75
66,63 178
68,67 53
68,69 153
69,68 65
70,67 149
71,67 158
73,72 92
74,72 190
75,72 154
76,72 113
77,76 72
78,73 63
80,79 136
81,79 61
82,80 134
83,79 151
84,80 144
85,80 157
86,83 149
87,85 103
88,89 155
89,90 83
90,91 63
91,92 134
92,93 80
93,94 110
94,95 123
95,96 180
96,97 164
98,102 125
99,98 162
100,98 177
101,99 196
102,100 179
104,103 70
105,103 97
106,103 118
107,104 138
108,103 197
109,108 164
109,116 73
110,104 124
111,108 94
112,106 175
113,103 183
114,103 167
115,114 62
115,113 129
116,109 89
117,120 64
118,117 167
118,119 171
119,118 165
120,117 150
121,119 129
121,117 167
122,118 93
124,123 56
124,131 180
124,129 83
124,127 194
124,128 68
125,123 73
125,126 74
126,124 109
127,126 173
127,124 154
128,125 157
129,124 111
129,131 188
130,128 136
130,124 109
131,124 60
131,128 186
133,132 95
134,132 126
135,133 185
136,133 102
137,140 64
138,137 167
138,139 171
139,138 165
140,137 150
141,139 129
141,137 167
142,138 93
144,143 69
145,143 111
146,145 145
147,143 102
148,143 166
149,148 198
150,143 164
151,146 153
152,147 59
153,143 136
155,154 107
156,155 134
157,155 181
158,156 179
158,154 190
159,156 110
159,154 145
160,156 102
160,159 126
161,158 172
161,156 162
162,157 183
162,155 122
164,163 144
164,169 120
165,164 89
166,164 176
167,165 191
168,164 188
168,167 55
169,166 85
170,169 136
171,165 137
172,168 196
173,172 97
175,174 126
176,174 56
177,176 56
178,175 82
179,176 167
180,175 103
180,177 193
181,180 171
181,174 104
182,177 145
183,181 122
183,184 177
183,174 80
184,179 79
184,183 86
184,177 157
185,179 129
186,187 144
187,188 84
188,189 148
189,190 59
190,191 178
191,192 173
192,193 107
193,194 81
194,195 52
195,196 125
196,197 122
197,198 162
198,199 118
201,200 186
201,209 183
201,204 187
202,200 103
202,209 189
203,200 115
204,203 140
204,200 177
205,203 138
206,201 85
206,202 101
207,202 79
207,208 181
208,200 89
209,200 84
210,200 79
211,206 193
212,201 71
213,201 111
214,200 174
214,201 191
214,211 136
216,215 149
217,215 107
218,215 67
219,218 185
220,219 121
221,215 186
222,219 168
224,223 105
224,231 162
225,223 187
226,225 164
226,227 166
227,225 51
228,223 162
229,226 153
229,224 160
229,233 139
230,225 98
231,229 172
232,229 173
233,230 148
234,223 157
latency
1,0 2
2,0 4
3,1 3
4,0 3
5,3 3
6,3 4
7,4 4
8,6 3
9,3 4
10,9 4
11,0 2
12,0 3
13,10 3
14,11 4
15,17 4
16,15 4
16,20 4
17,15 3
17,21 3
17,20 4
18,16 3
18,20 3
19,15 4
20,19 3
21,18 4
22,29 3
22,23 3
22,30 4
23,22 4
23,27 3
23,32 4
24,22 4
24,32 3
25,24 2
26,25 4
27,25 4
27,22 2
28,23 3
28,27 3
29,24 4
30,24 3
30,32 4
30,22 4
31,29 4
32,26 3
34,33 3
35,34 3
36,34 3
37,35 4
37,36 3
38,33 3
39,34 4
40,38 2
40,41 2
41,40 4
42,37 3
43,40 2
44,38 3
45,37 4
47,46 4
48,46 4
49,48 4
50,48 3
51,52 3
52,53 4
53,54 4
54,55 3
55,56 4
56,57 3
59,58 3
59,66 2
59,64 2
59,62 2
59,63 4
60,58 2
60,61 3
61,59 3
62,61 3
62,59 3
63,60 4
64,59 3
64,66 4
65,63 3
65,59 3
66,59 3
66,63 4
68,67 2
68,69 3
69,68 3
70,67 3
71,67 2
73,72 2
74,72 4
75,72 3
76,72 4
77,76 3
78,73 3
80,79 3
81,79 2
82,80 4
83,79 3
84,80 2
85,80 3
86,83 4
87,85 3
88,89 2
89,90 4
90,91 3
91,92 3
92,93 2
93,94 4
94,95 4
95,96 2
96,97 3
98,102 2
99,98 4
100,98 3
101,99 4
102,100 3
104,103 2
105,103 3
106,103 2
107,104 3
108,103 4
109,108 2
109,116 4
110,104 3
111,108 4
112,106 4
113,103 3
114,103 4
115,114 2
115,113 3
116,109 2
117,120 3
118,117 3
118,119 2
119,118 3
120,117 4
121,119 2
121,117 4
122,118 3
124,123 4
124,131 4
124,129 4
124,127 4
124,128 3
125,123 4
125,126 2
126,124 2
127,126 3
127,124 3
128,125 4
129,124 3
129,131 4
130,128 2
130,124 4
131,124 4
131,128 3
133,132 4
134,132 2
135,133 3
136,133 4
137,140 3
138,137 3
138,139 2
139,138 3
140,137 4
141,139 2
141,137 4
142,138 3
144,143 2
145,143 4
146,145 3
147,143 3
148,143 4
149,148 3
150,143 3
151,146 4
152,147 4
153,143 4
155,154 4
156,155 3
157,155 4
158,156 4
158,154 4
159,156 3
159,154 4
160,156 3
160,159 2
161,158 3
161,156 4
162,157 2
162,155 4
164,163 4
164,169 3
165,164 4
166,164 4
167,165 4
168,164 4
168,167 3
169,166 3
170,169 3
171,165 4
172,168 3
173,172 4
175,174 4
176,174 4
177,176 3
178,175 4
179,176 2
180,175 3
180,177 3
181,180 3
181,174 4
182,177 3
183,181 3
183,184 3
183,174 4
184,179 4
184,183 3
184,177 4
185,179 3
186,187 3
187,188 4
188,189 3
189,190 4
190,191 4
191,192 4
192,193 3
193,194 3
194,195 4
195,196 3
196,197 4
197,198 4
198,199 3
201,200 3
201,209 3
201,204 3
202,200 4
202,209 3
